k,rank,time
612,3,0.02871938981115818
618,3,0.03024778701364994
623,3,0.029017353430390358
629,3,0.03284439817070961
635,3,0.03391341678798199
642,3,0.03306187596172094
648,3,0.03173838462680578
654,3,0.03051668219268322
657,3,0.028720582835376263
663,3,0.03076343424618244
670,3,0.028353489004075527
676,3,0.029930065385997295
682,3,0.03077034465968609
689,3,0.027724233455955982
696,3,0.026037258096039295
701,3,0.027047794312238693
707,3,0.02387320902198553
713,3,0.021647121757268906
722,3,0.021989121101796627
728,3,0.019954326562583447
732,3,0.018758045509457588
739,3,0.019509545527398586
745,3,0.0177646204829216
751,3,0.018055886961519718
757,3,0.01661269087344408
763,3,0.015799433924257755
770,3,0.01419975608587265
776,3,0.012280255556106567
782,3,0.010622202418744564
787,3,0.009918399155139923
793,3,0.00865994393825531
798,3,0.007335898466408253
804,3,0.007287218235433102
810,3,0.00761906523257494
817,3,0.007522888481616974
825,3,0.0065683843567967415
829,3,0.006268906407058239
835,3,0.006055648438632488
840,3,0.005786983296275139
845,3,0.005748556926846504
851,3,0.00569775328040123
859,3,0.005548322573304176
865,3,0.005580258555710316
871,3,0.005493558943271637
877,3,0.0054170237854123116
883,3,0.005465492606163025
889,3,0.005335215479135513
895,3,0.005306056700646877
901,3,0.005285138264298439
907,3,0.005203667096793652
914,3,0.005198763683438301
920,3,0.005175111815333366
927,3,0.005122429691255093
933,3,0.005095575004816055
939,3,0.005684060975909233
945,3,0.0050294650718569756
952,3,0.005058949813246727
958,3,0.005034700036048889
1,1,0.004888430237770081
25,1,0.005126399919390678
31,1,0.00516185536980629
37,1,0.005149032920598984
44,1,0.0052530718967318535
50,1,0.005813641473650932
56,1,0.00530881155282259
62,1,0.0053738802671432495
68,1,0.005420025438070297
76,1,0.0055197784677147865
82,1,0.005558449774980545
88,1,0.005550323985517025
92,1,0.005598043091595173
98,1,0.005622158758342266
105,1,0.005706616677343845
111,1,0.005784176290035248
117,1,0.005921816453337669
123,1,0.006004480645060539
129,1,0.006685768254101276
135,1,0.007168801501393318
142,1,0.007669401355087757
149,1,0.008393880911171436
154,1,0.007677322253584862
160,1,0.0081276660785079
166,1,0.008799988776445389
172,1,0.010585016570985317
179,1,0.0117300720885396
185,1,0.01339639537036419
191,1,0.015824604779481888
197,1,0.01668634545058012
204,1,0.01834163535386324
211,1,0.01847511250525713
216,1,0.020292501896619797
223,1,0.020721309818327427
229,1,0.020306180231273174
236,1,0.0232028691098094
241,1,0.02099368628114462
248,1,0.022854105569422245
254,1,0.02624816820025444
260,1,0.027960771694779396
266,1,0.029281110502779484
273,1,0.02807888202369213
278,1,0.03193640802055597
285,1,0.030030005611479282
291,1,0.029386434704065323
297,1,0.03154671285301447
304,1,0.02952499780803919
311,1,0.03358404990285635
317,1,0.03427851013839245
323,1,0.03192568477243185
329,1,0.03354241792112589
