k,rank,time
737,3,0.015696004033088684
743,3,0.013778885826468468
748,3,0.014277957379817963
752,3,0.014474180527031422
758,3,0.013316926546394825
763,3,0.012940679676830769
770,3,0.011861209757626057
774,3,0.011726465076208115
779,3,0.009542727842926979
785,3,0.008764354512095451
791,3,0.00868738628923893
794,3,0.006996401585638523
801,3,0.006127772852778435
807,3,0.0063704317435622215
813,3,0.006680069491267204
819,3,0.0062844399362802505
825,3,0.0057339975610375404
828,3,0.005930502898991108
834,3,0.005026869475841522
841,3,0.004933563992381096
848,3,0.004890020005404949
851,3,0.004933888092637062
857,3,0.004888626746833324
864,3,0.004807497374713421
871,3,0.004508513957262039
877,3,0.004558664746582508
882,3,0.0047086263075470924
887,3,0.004389025270938873
893,3,0.0046536000445485115
898,3,0.004574025981128216
904,3,0.004356289282441139
908,3,0.004294496029615402
915,3,0.004517535679042339
922,3,0.0043463194742798805
926,3,0.004295719787478447
933,3,0.004363170824944973
939,3,0.00421393197029829
942,3,0.004074414260685444
949,3,0.004318509250879288
956,3,0.004397953860461712
2,2,0.0063979001715779305
41,2,0.006667515262961388
49,2,0.006450348533689976
57,2,0.006893153302371502
65,2,0.00709241908043623
76,2,0.007060217671096325
83,2,0.007218911312520504
91,2,0.006992751732468605
100,2,0.007093303836882114
110,2,0.006343820132315159
117,2,0.006057035177946091
123,2,0.006509989500045776
130,2,0.007379406131803989
138,2,0.00851206574589014
146,2,0.010988825000822544
155,2,0.01004085037857294
162,2,0.009492657147347927
172,2,0.0126771479845047
179,2,0.013712837360799313
187,2,0.01633074227720499
195,2,0.018695948645472527
203,2,0.020680934190750122
211,2,0.02157215029001236
218,2,0.022467421367764473
227,2,0.022910643368959427
235,2,0.025954493321478367
243,2,0.024150876328349113
252,2,0.028375789523124695
260,2,0.03150599729269743
268,2,0.03223227057605982
275,2,0.03292649891227484
283,2,0.03365863673388958
290,2,0.03360121324658394
298,2,0.03506185673177242
305,2,0.03583349846303463
313,2,0.03820800315588713
320,2,0.038237147964537144
329,2,0.037659600377082825
338,2,0.03354796580970287
346,2,0.034334140829741955
353,2,0.0357080465182662
